Название книги;Автор книги;Издатель книги;Цена со скидкой;Цена без скидки;Скидка
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly;Тил Тобиас;ДМК-Пресс:;1 277;2 837;–55 %
Программирование на Python. Первые шаги;Щерба Анастасия Владимировна;Лаборатория знаний:Школа юного программиста;557;1 238;–55 %
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов;Цирулик Владимир Григорьевич;Лань:Компьютеры и программное обеспечение;1 809;4 021;–55 %
Практический анализ двоичных файлов;Эндриесс Дэннис;ДМК-Пресс:;1 974;4 386;–55 %
Изучаем C# через разработку игр на Unity;Ферроне Харрисон;Питер:Библиотека программиста;1 548;1 985;–22 %
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие;Коренская Ирина Николаевна;Лань:Компьютеры и программное обеспечение;715;1 588;–55 %
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ;Мейерс Скотт;ДМК-Пресс:Для программистов;813;1 806;–55 %
Введение в надежное и безопасное распределенное программирование;Качина;ДМК-Пресс:;1 294;2 875;–55 %
C# 6.0. Карманный справочник;Албахари;Вильямс:;470;1 044;–55 %
Разработка веб-приложений с использованием Flask на языке Python;Гринберг Мигель;ДМК-Пресс:;1 132;2 515;–55 %
Python. К вершинам мастерства;Рамальо Лучано;ДМК-Пресс:;1 552;3 449;–55 %
Введение в ECMAScript 6;Прасти Нараян;ДМК-Пресс:;580;1 289;–55 %
Программирование для Windows на С/С++. В 2-х томах. Том 2;Мартынов Николай Николаевич;Бином:;248;550;–55 %
Программирование мобильных устройств на платформе .Net Compact Framework;Самре Иво;Вильямс:;600;1 334;–55 %
Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK;Марк;Вильямс:;1 166;2 592;–55 %
Silverlight 5 с примерами на C# для профессионалов;Мак-Дональд Мэтью;Вильямс:;1 544;3 431;–55 %
Java EE 7. Основы;Гупта Арун;Вильямс:;772;1 715;–55 %
Java SE 8. Вводный курс;Хорстманн Кей С.;Вильямс:;772;1 715;–55 %
Joomla! Для профессионалов;Рамел Дэн;Вильямс:;1 286;2 858;–55 %
Microsoft Exchange Server 2013. Полное руководство;Моримото;Вильямс:;2 573;5 717;–55 %
WinRT. программирование на C# для профессионалов;Рихтер;Вильямс:;1 286;2 858;–55 %
Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa;Нойбург Мэтт;Вильямс:;1 030;2 288;–55 %
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ;Лонг;Вильямс:;687;1 526;–55 %
ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов;Фримен Адам;Вильямс:;2 573;5 717;–55 %
Drupal 7. Руководство пользователя;Колисниченко Денис Николаевич;Диалектика:;267;593;–55 %
Joomla 2.5. Руководство пользователя;Колисниченко Денис Николаевич;Диалектика:;429;953;–55 %
C# 5.0 и платформа .NET 4.5 для профессионалов;Глинн;Диалектика:;1 972;4 383;–55 %
Python на практике;Саммерфилд Марк;ДМК-Пресс:Профессиональная серия программиста;929;2 064;–55 %
Линейное программирование. Руководство к решению задач;Лунгу Константин Никитович;Физматлит:;203;452;–55 %
Поисковая адаптация. Теория и практика;Курейчик;Физматлит:Информационные и компьютерные технологии;415;922;–55 %
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование;Соколов;Физматлит:;1 017;2 259;–55 %
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность;Токарев Владислав Васильевич;Физматлит:;965;2 145;–55 %
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач;Подколзин Александр Сергеевич;Физматлит:;1 072;2 383;–55 %
Дизайн и эволюция языка С++;Страуструп Бьерн;ДМК-Пресс:Для программистов;970;2 155;–55 %
Программирование в Delphi. Учебник по классическим версиям Delphi (+CD);Архангельский Алексей Яковлевич;Бином:;941;2 092;–55 %
Обработка естественного языка на Java;Риз Ричард;ДМК-Пресс:;813;1 806;–55 %
Теория вычислений для программистов;Стюарт Том;ДМК-Пресс:Теория программирования;929;2 064;–55 %
Алгоритмы и структуры данных. Новая версия для Оберона;Вирт Никлаус;ДМК-Пресс:Классика программирования;522;1 161;–55 %
Искусство поиска решения в нестандартной задаче;Потопахин Виталий Валерьевич;ДМК-Пресс:Прикладное программирование;352;783;–55 %
Программирование на Python для начинающих;МакГрат Майк;Эксмо-Пресс:Программирование для начинающих;673;922;–27 %
Применение Web-стандартов. CSS и Ajax для больших сайтов;Шмитт;Корона-Принт:;206;458;–55 %
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE;Пьявченко Тамила Алексеевна;Лань:Учебники для вузов. Специальная литература;1 257;2 794;–55 %
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход;Гэртнер Маркус;ДМК-Пресс:;840;1 866;–55 %
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга;Петцольд Чарльз;ДМК-Пресс:Классика программирования;929;2 064;–55 %
Шейдеры и эффекты в Unity. Книга рецептов;Ламмерс Кенни;ДМК-Пресс:;638;1 417;–55 %
JavaScript и jQuery. Исчерпывающее руководство;Макфарланд Дэвид;Эксмо:Мировой компьютерный бестселлер;1 772;2 427;–27 %
Полезное программирование. Уникальное руководство;Комлев Николай Юрьевич;Солон-пресс:Библиотека профессионала;609;1 353;–55 %
Visual FoxPro 9.0. Учебный курс;Информация не найдена;Корона-Принт:;372;827;–55 %
MATLAB и SIMULINK для радиоинженеров;Дьяконов Владимир Павлович;ДМК-Пресс:Математика и Matlab;1 682;3 738;–55 %
Справочник по языку Haskell;Душкин Роман Викторович;ДМК-Пресс:;840;1 866;–55 %
Программирование на ассемблере на платформе x86-64;Аблязов Руслан Зуфярович;ДМК-Пресс:;582;1 294;–55 %
Семантический веб;Антониоу;ДМК-Пресс:;696;1 547;–55 %
Функциональное программирование на языке Haskell;Душкин Роман Викторович;ДМК-Пресс:;906;2 013;–55 %
Программирование на языке Go. Разработка приложений XXI века;Саммерфильд Марк;ДМК-Пресс:Профессиональное программирование;1 161;2 580;–55 %
Разработка программного обеспечения: управление изменениями;Белладжио;ДМК-Пресс:;562;1 249;–55 %
От математики к обобщенному программированию;Степанов;ДМК-Пресс:;696;1 547;–55 %
Изучаем программирование на JavaScript;Фримен;Питер:Head First (O'Reilly);2 377;3 048;–22 %
Путь Ruby;Фултон;ДМК-Пресс:Профессиональная серия программиста;1 161;2 580;–55 %
Программирование на Objective-C;Кочан Стивен;Эком:Библиотека разработчика;1 162;2 582;–55 %
Изучаем Spark;Карау;ДМК-Пресс:;753;1 674;–55 %
Статистический анализ и визуализация данных с помощью R;Мастицкий;ДМК-Пресс:;1 035;2 301;–55 %
LLVM. Инфраструктура для разработки компиляторов;Кардос;ДМК-Пресс:;811;1 802;–55 %
OpenGL ES 3.0. Руководство разработчика;Гинсбург;ДМК-Пресс:;1 044;2 321;–55 %
Современный Фортран на практике;Маркус Арьен;ДМК-Пресс:;870;1 934;–55 %
Elastix - общайтесь свободно!;Юров Владислав;Эком:;704;1 565;–55 %
Квантовые вычисления и функциональное программирование;Душкин Роман Викторович;ДМК-Пресс:;410;911;–55 %
Проектирование информационных систем. Учебное пособие. СПО;Вейцман Владимир Моисеевич;Лань:Компьютеры и программное обеспечение;1 384;3 076;–55 %
Создание сайтов на основе WordPress. Учебное пособие для СПО;Сергеев Алексей Николаевич;Лань:Компьютеры и программное обеспечение;602;1 338;–55 %
Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем;Мицуфуджи;ДМК-Пресс:;1 741;3 869;–55 %
Современный JavaScript для нетерпеливых;Хорстман Кэй С.;ДМК-Пресс:;1 044;2 321;–55 %
Инфокоммуникационные системы. Учебник;Журавлев;Лань:Компьютеры и программное обеспечение;1 831;4 069;–55 %
Инфокоммуникационные системы. Учебник;Журавлев;Лань:Компьютеры и программное обеспечение;1 776;3 947;–55 %
Программирование на Rust. Официальный гайд;Клабник;Питер:Для профессионалов;3 132;4 015;–22 %
Проектирование информационных систем. Учебное пособие;Коваленко Владимир Васильевич;Форум:Высшее образование: Бакалавриат;1 540;3 422;–55 %
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений;Черный Борис;Питер:Бестселлеры O`Reilly;1 558;1 998;–22 %
Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services;Феррари;ДМК-Пресс:;2 380;5 289;–55 %
Хаос-инжиниринг;Розенталь;ДМК-Пресс:;1 161;2 580;–55 %
Цифровая обработка сигналов на системном уровне с использованием LabVIEW;Кехтарнаваз;ДМК-Пресс:;1 044;2 321;–55 %
Основы программирования. Учебник с практикумом;Макарова;Кнорус:Среднее профессиональное образование;1 062;2 359;–55 %
Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач;Струченков Валерий Иванович;Солон-пресс:Библиотека профессионала;475;1 055;–55 %
Спортивное программирование;Халим;ДМК-Пресс:;1 857;4 127;–55 %
Python и наука о данных для чайников;Мюллер;Диалектика:;1 789;3 976;–55 %
Криптография - наука о тайнописи. Учебное пособие;Фомичев Владимир Михайлович;Прометей:;299;665;–55 %
